id,artifact_type_id,artifact_set_id,name,description,star
1401,1,401,故人の心,藍色の小花、花茎に誰かのリボンがついている。,4
2401,2,401,帰郷の羽,青い矢羽、その中に旅人の消えていった眷恋が宿っている。,4
3401,3,401,逐光の石,世の移り変わりを経験してきた日時計、永遠に静かに時の循環を記録している。,4
4401,4,401,異国の杯,素朴な白い磁器の酒盃、かつては歓喜のお酒に満ちていた。,4
5401,5,401,別離の冠,春の気配が漂う柳の冠。,4
1402,1,402,勇士の勲章,胸元につける素朴な小花、冒険の後に入手した記念品である。,4
2402,2,402,勇士の期待,明るいスズメの羽根。小さな勇気をもたらしてくれる。,4
3402,3,402,勇士の毅然,古くて小さな砂時計、実用性がない。時の流れのように不思議である。,4
4402,4,402,勇士の壮行,雑な木製の容器、中には思い出がたくさんある。,4
5402,5,402,勇士の冠,粗雑に編まれた草の冠。一部の人にとって、この冠は金の冠ように貴重だろう。,4
1403,1,403,守護の花,守護者が大事にしていた菖蒲。しかし愛しい人に贈る日を迎えられなかった。,4
2403,2,403,守護の印,ある人の「堅い盾になりたい」という意志を象徴する羽根型の安全ピン。,4
3403,3,403,守護の置き時計,時間を示す道具。月のない暗い夜に唯一時間を教えてくれるもの。,4
4403,4,403,守護の瓶,金属の容器。長い夜の孤独を解消してくれるある液体が入れられる。,4
5403,5,403,守護の帯,夜色に染まった藍色の織物。緊急時に包帯として使える。,4
1404,1,404,奇跡の花,岩石の中に生えた花。光を求める花は、硬い岩壁でも引き裂く。,4
2404,2,404,奇跡の羽根,素早いスピードを持つ猛禽の羽根、あの奇跡のような一撃は肉眼では捕捉しきれないものである。,4
3404,3,404,奇跡の砂,普通の砂時計に見えるが、乾いた砂は水のように動く。,4
4404,4,404,奇跡のコップ,占いの時に使うコップだが、水を入れることも可能だ。,4
5404,5,404,奇跡のピアス,安いアクセサリーだが、遠古時代の隕石から取った不思議な金属でできたもの。,4
1405,1,405,狂戦士の薔薇,赤く染まった綺麗な花、狂戦士の気質と微妙に釣り合う。,4
2405,2,405,狂戦士の羽根,伝説の死を告げる鳥の勝色の尾羽、今は一部が赤く染まっている。,4
3405,3,405,狂戦士の時計,永遠に無情に流れ続ける砂時計。狂戦士に戦場にいられる時間と余命の時間を教える。,4
4405,4,405,狂戦士のコップ,ある種の巨大獣の骨でできたコップ。ある死闘の後の獲物。,4
5405,5,405,狂戦士の仮面,生死を問わない激戦で、半分に割れた怖気の鉄仮面。,4
1406,1,406,武人の赤い花,武芸を習う者は花を好まないが、この痛みを麻痺させる赤い花だけは別だ。,4
2406,2,406,武人の羽飾り,どこにもある鳥の羽根、熟練者はそれを鍛錬に使い、初心者はそれを扇子の素材に使う。,4
3406,3,406,武人の水時計,忍耐力を鍛える時、時間を計るために使う小道具。砂時計より安定している。,4
4406,4,406,武人の酒器,繊細な作りをした金属の杯、武人が出陣する前に使う儀式の道具でしかない。,4
5406,5,406,武人のバンダナ,武人としての基本は精·気·神。バンダナをつけて、この三文字を忘れないようにする。,4
1407,1,407,教官の花飾り,胸にこの花を付ける時は、今日は訓練しないという意味だ。,4
2407,2,407,教官の羽飾り,攻撃の力を和らげる方法を熟知している教官は、羽飾りが風に飛ばされないようにすることができる。,4
3407,3,407,教官の懐中時計,正しい時間の確認に使えない懐中時計だが、訓練の時間なら測ることができる。,4
4407,4,407,教官のティーカップ,普通のティーカップだが、生徒からするとそれは教官の権力を象徴するものである。,4
5407,5,407,教官の帽子,制式化された教官帽子。昇級を拒んだ軍官のみが得られる栄誉。,4
1408,1,408,博徒の花飾り,大きくて華麗な花。事前に用意したサイコロを隠すことができる。,4
2408,2,408,博徒の羽飾り,大型鳥の羽根、運命を変えられるカードを隠すことができる。,4
3408,3,408,博徒の懐中時計,壊れた懐中時計、かつて致命的な攻撃から持ち主を救ったことがある。,4
4408,4,408,博徒のツボ,特製品。単一用途の容器だが、詐欺用のからくりはない。,4
5408,5,408,博徒のピアス,この青のイヤリングをつけると冷静に状況とリスクを分析し、危機を避けられるようになる。,4
1409,1,409,亡命者の花,薄暗い花、たとえ亡命の身になっても手放すことはないから、きっとなにか意味はあるのであろう。,4
2409,2,409,亡命者の羽根,装飾物ではなく、亡命の旅の途中で偶然手に入れた羽根である。,4
3409,3,409,亡命者の懐中時計,水晶でできた風防は砕け、針も全部なくなったが。それでも捨てられない。,4
4409,4,409,亡命者のコップ,薄暗い重金属でできたコップ。外側には宝石の装飾があったが、今はもうなくなった。,4
5409,5,409,亡命者の冠,高貴だった冠。本来高貴な身分が廃却されたように、身分を象徴する部分が刀によって壊された。,4
1410,1,410,学者のしおり,しおりに使われた乾燥花、書籍のにおいがする。,4
2410,2,410,学者の羽根ペン,ペンに作られたある鳥類の尾羽、根元は洗っても消えないほどの黒である。,4
3410,3,410,学者の時計,机に置くのに適した時計。研究に没頭する学者に時間を教える。,4
4410,4,410,学者のコップ,水を飲むための容器だったが、筆を洗う容器に使われたため、真っ黒に染まった。,4
5410,5,410,学者のレンズ,大量の読書によってダメージを受けた視力はこれがあれば問題ない。,4
1501,1,501,吹雪の中の思い,絶滅した氷河の花、上には凍った露がある。孤高な勇士もかつてこの花のために身を屈したらしい。,5
2501,2,501,氷を砕く執念,極寒の冬を放つ鳥の羽。この猛禽が、雪原と氷峰の上で羽根を羽ばたかせた風を感じ取れるようだ。,5
3501,3,501,雪覆う故郷の最後,勇士の帰りを待つ故郷の人々が使っていた時計。その中を流れるのは砂ではなく、溶けない氷の屑のである。,5
4501,4,501,霜を纏った気骨,寒氷でできたコップ、冬のように堅い。かつての持ち主はそれで不凍の酒を飲んだらしい。,5
5501,5,501,氷雪を踏む音,氷雪を征服すると夢見る古代英雄の冠、寒い冬に直面しても怯まない勇気の証。,5
1502,1,502,雷討ちの心,雷霆の中に咲き誇る花、今でも雷雨の中を行く人々に勇気を与える。,5
2502,2,502,雷討ちの羽根,伝説によると、雷電を退治した英雄が使用していたバッジ、狂雷の中を飛ぶ猛禽の羽根でできたらしい。,5
3502,3,502,雷討ちの刻,雷電を退治した勇士が使用していた時計、中の雷の結晶は雷電のように過ぎていく時間と共に落ちていく。,5
4502,4,502,雷討ちの器,雷討ちの勇士の盃。雷の魔獣を退治した英雄がこの盃を使って紫電を飲んだらしい。,5
5502,5,502,雷討ちの冠,雷討ちの勇士の冠、古き英雄が大地に害をなす雷の魔獣を倒して獲得した冠である。,5
1503,1,503,火渡りの堅実,烈火の中で咲く花、古代の知者はそれをつけて火の海に入ったらしい。,5
2503,2,503,火渡りの解放,火を浴びる孤高な鳥の羽根、炎の中で羽ばたく音が聞こえる。,5
3503,3,503,火渡りの苦しみ,光る熱砂が流れる砂時計。砂は流れていき、何の烙印も残さない。,5
4503,4,503,火渡りの悟り,流火の高熱を耐えるコップ、何が入っていなくてもその熱さを感じられる。,5
5503,5,503,火渡りの知恵,火の海を渡った賢者の冠、熱い浪の中に立つ古い姿を映したものである。,5
1504,1,504,彼方にある少女の心,永遠に咲く花、長い時を経ても枯れずに香りを放ち続ける。,5
2504,2,504,少女の揺らぐ思い,誰かの思いを乗せた羽根飾り、まるで風と共に遠くへ去った渡り鳥のようだ。,5
3504,3,504,少女の短い華年,時計の針に終点はないが、少女の愛される歳月はそうではない。,5
4504,4,504,少女の暫く息抜き,酒ではなく紅茶の容器。中は苦い味ではなく甘い味である。,5
5504,5,504,少女の儚き顔,丁寧に手入れされた帽子、目じりの皺をも完璧に隠せる。,5
1505,1,505,剣闘士の未練,伝説の剣闘士がなぜこの花を胸につけたか誰も知らない。これは残酷な戦士にある唯一の弱点だ。,5
2505,2,505,剣闘士の帰着,ハヤブサのように飛ぶ夢の羽根、自由の鳥は彼の心にこの羽根を落とした。,5
3505,3,505,剣闘士の希望,剣闘士が闘技場で鮮血を浴びた年月を記録した時計。本人にとって、それは自由への道の象徴でもある。,5
4505,4,505,剣闘士の酩酊,古代の剣闘士が勝利の酒を楽しむ金の盃。盃には彼の歳月に満ちていて、彼が倒れる最後の時まで。,5
5505,5,505,剣闘士の凱旋,古代伝説の剣闘士の兜。数え切れないほど敵の鮮血と観客の歓声を浴びている。,5
1506,1,506,野花の記憶の草原,かつてある場所に咲いた野花、大地を離れ、狩人の胸につけられた。,5
2506,2,506,狩人の青緑色の矢羽,一瞬で獲物を貫通した矢羽、今でも綺麗に整えられている。,5
3506,3,506,緑の狩人の決心,狩人が持ち歩いていた奇妙な機械、永遠に獲物を指す。,5
4506,4,506,緑の狩人の容器,緑の狩人が使用していた革水筒、中の空間は想像よりもずっと大きい。,5
5506,5,506,緑の狩人の冠,かつて緑の狩人が使用していた自慢の冠、野原の風のような青緑色が特徴。,5
1507,1,507,楽団の朝の光,小さい花の形をしたバッジ。耳をすませば、笛の音や歌声を聞こえるかもしれない。,5
2507,2,507,琴師の矢羽,青藍色の矢羽、長い年月の中で少しも色褪せない。水の流れのような琴の音さえ聞こえるようだ。,5
3507,3,507,フィナーレの時計,楽団の演奏に使用されていた砂時計、きちんとした音を出していたが、彼らのパフォーマンスはとうに幕を閉じた。,5
4507,4,507,吟遊者の水筒,変わった形をした水筒、内側に弦があって、水の流れと共に旋律のない音楽を奏でる。,5
5507,5,507,指揮者のハット,長い年月を経ても、輝きを失わない礼帽。古く抑揚のある音楽さえ聞こえてくるようだ。,5
1508,1,508,雷鳥の憐み,災難の日に紫炎の怒りから逃れ、災禍の生き残りとなった雷色の花。,5
2508,2,508,雷災の生存者,雷の羽根は雷の魔鳥が与えた残酷な罰の証、落ちた羽根にその怒りを表す雷光がちらつく。,5
3508,3,508,雷霆の時計,雷鳥を信奉する部族が、天空の雷の主の降臨を予告する際に使われた砂時計。一族の終焉によって永遠の静止に陥った。,5
4508,4,508,落雷の前兆,鮮血が注がれた儀式の杯、雷鳴が中に響き渡るように願う。最終的に雷のような怒りが溢れていた。,5
5508,5,508,雷を呼ぶ冠,雷の魔鳥を崇拝した古代のシャーマンが被っていた冠。純粋な信仰は気ままに生きる魔獣を感動させることはなかった。,5
1509,1,509,魔女の炎の花,かつて、世の魔物を全て燃やそうと夢見た炎の魔女が触れた花。触ると、名も無き炎の暖かさに優しく包まれる。,5
2509,2,509,魔女の炎の羽根,かつて世の魔物を全て燃やそうと夢見た炎の魔女が触れた鳥の羽根、常に烈炎と同じ温度を保っている。,5
3509,3,509,魔女の破滅の時,かつて世の魔物を全て燃やそうと夢見た炎の魔女が使用していた時計、中に流れているのは魔女が炎に捧げた歳月である。,5
4509,4,509,魔女の心の炎,かつて世の魔物を全て燃やそうと夢見た炎の魔女が残した流火の甕。中の炎は消えない、まるで魔女その人のようだ。,5
5509,5,509,焦げた魔女の帽子,かつて世の魔物を全て燃やそうと夢見た炎の魔女が被っていた帽子、広いツバは彼女の視線を隠した。,5
1510,1,510,旧貴族の花,絹で作った琉璃色の花、様々な場面で付けられた。今でも捨てられた日と同じくらい鮮やかである。,5
2510,2,510,旧貴族の羽根,モンドの旧貴族が狩りの時に帽子につけた羽根、今でもまっすぐに立っていて、時間の影響を受けていない。,5
3510,3,510,旧貴族の時計,モンドの旧貴族の懐中時計、長い族譜と共に今日に伝わった。,5
4510,4,510,旧貴族の銀瓶,モンドの旧貴族が使っていた瓶、中身は何もなく、悲しい風の音だけが響いている。,5
5510,5,510,旧貴族の仮面,モンドの旧貴族が舞踏会に使用していた仮面、空洞となった目の縁は今でも昔の光景を見つめている。,5
1511,1,511,血染めの鉄の心,血に黒く染められ、鋼鉄のように硬くなった花。過去の持ち主にとって、記念品の一つかもしれない。,5
2511,2,511,血染めの黒羽,騎士のマントにあった羽根、大量の黒い血を浴びたせいで黒に染まった。,5
3511,3,511,騎士が血に染めた時,騎士が使用していた時計。中の液体は完全に固体になり、時計としての機能を失った。,5
4511,4,511,血染めの騎士のコップ,血染めの騎士が持つ金属の杯。外側は硝煙と乾いた血の影響で黒くなった。,5
5511,5,511,血染めの鉄仮面,騎士が顔を隠すための鉄仮面、仮面の下の顔は誰も知らない。,5
1512,1,512,盤石芽生の花,磐陀巨岩に咲いた金石の花。花びらが風と踊り、生気が宿るように感じられる。,5
2512,2,512,嵯峨連山の翼,磯岩巨鳶の硬い羽根、玄石の羽先が露を凍らすことがたまにある。,5
3512,3,512,星羅圭玉の日時計,丸一枚の圭璧を彫って作られた日時計、模様は無数の星が連なっているように見える。無言のままに時間の流れを記録している。,5
4512,4,512,危岩磐石の杯,華麗さと荘厳さを併せ持つ杯、千年前は美酒に満ちていた。,5
5512,5,512,不動玄石の相,玄石を彫って作られた荘厳な仮面、形のない両眼が冷たく永遠に前方を凝視する。,5
1513,1,513,夏祭りの花,永遠に咲き続ける造花、その中には命が宿っているかな？,5
2513,2,513,夏祭りの終わり,精巧な木製ダーツ。終点に着くまでは止まらない物。,5
3513,3,513,夏祭りの刻,ある時間に止まった懐中時計。,5
4513,4,513,夏祭りの水風船,夏祭りでは水風船がよく見られる。しかしこれほど精巧な水風船はこの一個しかない。,5
5513,5,513,夏祭りの仮面,伝説の神のイメージを元に作った仮面、とても流行っているもの。,5
1514,1,514,金メッキのコサージュ,仄暗い色をしたクロークピン。金色のメッキは既に海風に削り取られてしまった。,5
2514,2,514,追憶の風,咽び泣く海風と、鮮やかな赤い波が連れてきた羽。長い年月がその形状と色を変えた。,5
3514,3,514,堅い銅のコンパス,旧式の銅製のコンパス。針は始終、港の存在しない遥か彼方を示している。,5
4514,4,514,浮沈の杯,何気なくすくい上げた色あせた酒杯、仄暗い外観は波の底にいた日々について囁いでいる。,5
5514,5,514,酒に漬けた帽子,旧式の船長帽、今でも抜けきらない酒の匂いが纏わり付き、酒の痕跡があちこちに染みついている。,5
1515,1,515,偉勲の花,金箔で作られた精巧な花。所有主の功績と栄誉を象徴している。,5
2515,2,515,昭武の羽根,式典の際に着用し、外国からの訪問者に威厳を示す羽毛。,5
3515,3,515,金銅の日時計,素朴な見た目の計時器。戦争の時代、千岩軍の標準装備だった。,5
4515,4,515,誓いの金杯,千岩軍が誓いの時に使う黄金の杯。酒の香が少し残っている。,5
5515,5,515,将帥の兜,古きから伝わる華麗な兜。埃を拭き取ると新品同様に明るく光る。,5
1516,1,516,無垢の花,決して枯れず色褪せない、青くて硬い造花。,5
2516,2,516,良医の羽,非常に鋭いふちを持つ不吉な羽。異類の不羈を象徴しているのかもしれない。,5
3516,3,516,停頓の時,ふたが開かない懐中時計。時間の経過と同時に、しっかりカチカチと音を立てる。,5
4516,4,516,超越の盃,何年もの歳月を経たか見た目からは全く見当がつかない精巧な盃。,5
5516,5,516,嗤笑の面,誰にも表情がわからないように顔を隠すことができるマスク。,5
1517,1,517,羈絆の花,精巧な水引お守り。願いを叶える力を秘めているとの噂。,5
2517,2,517,憶念の矢,少し古い仕様の破魔矢。何者かによって大切に保管されているようだ。,5
3517,3,517,朝露の時,水引と鈴で装飾された銅の懐中時計。時は、ある秋の夜明けに永遠に止まっているようだ。,5
4517,4,517,祈望の心,特製のおみくじ筒。底面には、望ましくないくじを簡単に取り除くことができるからくりが組み込まれている。,5
